#,POBLACIÓN,VALOR FLETE BASE,TOTAL HORAS EXTRAS
1,MANIZALES VILLAMARIA,"$330,000",
2,CHINCHINA,"$272,000",
3,PACORA SALAMINA,"$725,000",
4,AGUADAS PACORA,"$725,000",
5,NEIRA,"$368,000",
6,ARANZAZU FILADELFIA,"$725,000",
7,RDA S JOSE BELALCAZAR,"$346,000",
8,PALESTINA ARAUCA,"$303,000",
9,IRRA LA FELISA VER RIOSUCIO,"$530,000",
10,RIOSUCIO,"$580,000",
11,RIOSUCIO-SUPIA SUPERMERCADO,"$625,000",
12,MARMATO,"$565,000",
13,MARMATO LA MERCED,"$620,000",
14,SUPIA,"$550,000",
15,QUINCHIA,"$470,000",
16,ANSERMA,"$360,000",
17,BELEN DE UMBRIA,"$360,000",
18,VITERBO,"$295,000",
19,MISTRATO,"$390,000",
20,ANSERMA NUEVO 2T,"$302,000",
21,ARMENIA,"$330,000",
22,CALARCA,"$345,000",
23,QUIMBAYA,"$275,000",
24,MONTENEGRO,"$300,000",
25,MONTENEGRO PTAPAO,"$325,000",
26,ALCALA ULLOA,"$275,000",
27,TEBAIDA,"$355,000",
28,CIRCASIA,"$300,000",
29,FILANDIA,"$300,000",
30,SALENTO,"$300,000",
31,CAIMO BARCELONA,"$360,000",
32,GENOVA,"$430,000",
33,CORDOBA PIJAO BVISTA,"$379,000",
34,CAICEDONIA,"$398,000",
35,GUATICA,"$398,000",
36,PEREIRA - DOSQUEBRADAS,"$224,000",
37,SANTA ROSA,"$238,000",
38,ARABIA ALTAGRACIA,"$235,000",
39,MARSELLA,"$290,000",
40,CARTAGO 2T,"$290,000",
41,LA VIRGINIA,"$255,000",
42,ARGELIA EL CAIRO,"$370,000",
43,EL AGUILA,"$335,000",
44,EL AGUILA VILLA NUEVA,"$360,000",
45,BALBOA LA CELIA,"$325,000",
46,APIA VIRGINIA,"$330,000",
47,SANTUARIO,"$330,000",
48,PUEBLO RICO,"$370,000",
49,SANTA CECILIA,"$450,000",
